"Temperatura";"Vlaga";"Vjetar";"Sunce";"O3";"NO";"NO2"
"24.3553";"51.758";"3.56194";"565.38";"59.283";"1.48333";"2.40278"
"24.0814";"51.95";"3.88194";"406.578";"59.4";"1.42222";"2.80556"
"24.0087";"52.168";"3.14806";"253.967";"59.608";"1.19167";"2.61667"
"23.8383";"51.597";"2.82833";"250.582";"60.497";"1.50556";"1.81944"
"23.5948";"52.223";"3.75528";"346.602";"59.539";"1.33889";"2.57222"
"23.7582";"51.26";"3.25472";"315.26";"60.453";"0.92778";"2.35"
"24.1506";"50.225";"3.31056";"644.51";"61.272";"1.44722";"1.25278"
"24.7292";"49.2912";"3.41639";"1092.74";"61.397";"1.29167";"1.17222"
"24.9774";"48.4008";"2.84306";"1319.7";"61.642";"1.00833";"0.94722"
"25.069";"47.5315";"3.02556";"1293.83";"61.356";"1.19444";"1.25"
"25.291";"46.6328";"2.84278";"1248.68";"60.025";"1.10556";"1.34722"
"25.4785";"46.398";"3.09";"1256.56";"58.492";"1.45";"2.30278"
"25.5666";"45.145";"3.16306";"1247.99";"59.633";"1.325";"1.93611"
"25.6586";"44.6079";"2.63";"1257.12";"59.994";"1.18889";"1.61389"
"25.4978";"44.1836";"2.52361";"1023.88";"61.231";"1.21111";"0.98056"
"25.6415";"44.1615";"2.95889";"1245.92";"60.039";"1.63333";"1.35556"
"25.7094";"43.521";"3.04472";"1121.04";"59.233";"1.24167";"2.20833"
"25.6478";"43.2255";"3.25639";"1248.62";"60.275";"1.35833";"1.80278"
"25.7791";"43.4334";"2.57556";"1234.2";"60.519";"1.225";"0.95556"
"25.8296";"43.5015";"2.10861";"1217";"59.683";"1.24722";"1.39167"
"25.9273";"42.0573";"2.82944";"1207.62";"60.822";"1.07778";"1.30833"
"25.7235";"42.1966";"2.6825";"1203.72";"62.542";"1.00833";"1.50278"
"25.9844";"42.7754";"2.07889";"1195.6";"61.186";"1.19722";"1.50833"
"25.9976";"44.2122";"2.98472";"1081.64";"61.917";"0.68333";"1.70833"
"25.8548";"45.6793";"2.75444";"1268.88";"60.339";"0.97778";"1.73611"
"25.8917";"45.3099";"4.09444";"987.03";"60.378";"1.11944";"1.89444"
"25.5022";"45.6723";"3.26722";"964.03";"61.431";"1.06389";"1.52222"
"25.2639";"46.8635";"2.71667";"757.14";"59.733";"0.93333";"2.89722"
"25.474";"46.1623";"2.35806";"972.16";"60.778";"1.32222";"1.53333"
"25.4837";"45.9694";"3.11083";"1092.81";"60.811";"1.28889";"1.44722"
"25.7867";"46.0319";"2.235";"1067.86";"60.744";"1.21667";"1.62222"
"26.0219";"46.1378";"2.19556";"1068.54";"59.456";"1.175";"1.53333"
"25.9807";"45.7018";"2.33111";"429.711";"60.661";"0.9";"1.69444"
"25.4727";"47.487";"3.40472";"548.72";"60.017";"1.83056";"2.04167"
"25.1495";"48.3431";"2.57944";"704.09";"60.625";"1.26944";"1.48611"
"25.2361";"47.1842";"2.45333";"1136.84";"60.686";"1.43611";"2.22778"
"25.6098";"46.1513";"3.15333";"1126";"61.108";"1.19722";"1.70833"
"25.4983";"45.9026";"3.5475";"1138.42";"61.969";"1.01944";"2.49444"
"25.5167";"46.0862";"3.14361";"1131.14";"61.169";"1.59444";"2.31667"
"25.7224";"45.3735";"3.97667";"1094.21";"62.358";"1.275";"1.325"
"25.877";"45.574";"2.80167";"1059.23";"61.736";"1.11111";"1.83889"
"25.8661";"44.3828";"2.6225";"1030.35";"62.789";"1.24722";"1.46389"
"25.7906";"44.0584";"3.70611";"1014.79";"63.425";"1.18056";"1.73056"
"25.8557";"44.9076";"3.55472";"998.18";"62.044";"1.37778";"1.66667"
"25.6547";"45.163";"2.84833";"937.8";"64.256";"0.89167";"1.22778"
"25.4594";"45.1445";"2.36611";"780.47";"63.189";"0.86389";"1.29722"
"25.3947";"44.3813";"3.05111";"972.78";"64.403";"0.98056";"1.23333"
"25.4347";"44.2713";"2.97611";"689.15";"65.139";"0.96944";"1.78056"
"25.2255";"45.6899";"2.15111";"416.719";"62.958";"1.63611";"1.75833"
"24.7836";"46.7038";"2.49528";"436.081";"62.528";"1.01944";"2.00833"
"24.7786";"46.4779";"3.73472";"632.78";"63.067";"1.00833";"2.29722"
"24.9568";"47.0284";"2.86972";"905.04";"64.169";"0.78056";"1.89167"
"25.2982";"46.4349";"2.76667";"881.27";"63.919";"0.875";"1.54444"
"25.4527";"46.2159";"2.98361";"872.99";"63.022";"1.31111";"2.47778"
"25.3199";"46.3811";"2.23583";"864.32";"63.047";"1.31944";"2.85"
"25.4117";"44.8383";"2.88556";"837.94";"64.531";"1.525";"1.375"
"25.3529";"44.9479";"2.38194";"835.23";"64.122";"1.37222";"1.93333"
"25.4714";"44.8624";"2.66694";"756.69";"63.739";"1.24444";"2.07222"
"25.2396";"45.4455";"3.33222";"499.692";"64.9";"0.85278";"1.76111"
"25.023";"45.8142";"2.93333";"483.273";"66.467";"0.65556";"1.275"
"24.8014";"46.7828";"2.59417";"123.29";"65.386";"1.15833";"0.72222"
"24.4683";"48.8924";"2.1975";"388.461";"63.739";"0.93056";"1.55556"
"24.6087";"48.717";"2.45278";"393.641";"61.569";"1.11667";"2.14722"
"24.799";"48.5421";"3.12306";"389.312";"62.094";"1.32778";"3.43333"
"24.796";"48.7049";"2.77472";"441.313";"62.517";"1.41667";"2.44722"
